epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,127.811,0.95409,0.59458,1.25124,0.86133,1,0.96182,0.55116,1.40251,0.78344,1.6654,0.000581,0.000581,0.000581
45,130.911,0.96545,0.59739,1.2813,0.85812,1,0.95567,0.58197,1.27784,0.74877,1.49696,0.000548,0.000548,0.000548
46,133.755,0.93957,0.59615,1.27437,0.95155,0.84615,0.9694,0.65507,1.17763,0.66996,1.4323,0.000515,0.000515,0.000515
47,136.455,0.95086,0.5797,1.23798,0.93192,0.84615,0.96674,0.65293,1.17618,0.67924,1.44134,0.000482,0.000482,0.000482
48,138.996,0.90879,0.54787,1.21681,0.73067,0.92308,0.84138,0.57085,1.15281,0.86958,1.41971,0.000449,0.000449,0.000449
49,141.499,0.89742,0.54149,1.20481,0.84198,0.92308,0.91139,0.63015,1.14885,0.75322,1.39629,0.000416,0.000416,0.000416
50,144.683,0.84131,0.5142,1.19002,0.94406,0.92308,0.98188,0.70256,1.0111,0.52891,1.40689,0.000383,0.000383,0.000383
51,148.991,0.91833,0.68515,1.32053,0.90779,1,0.99,0.71588,1.00554,0.50776,1.41797,0.00035,0.00035,0.00035
52,152.125,0.82114,0.50917,1.27951,0.99865,1,0.995,0.65752,1.12321,0.54465,1.51102,0.000317,0.000317,0.000317
53,155.222,0.78322,0.4766,1.19206,1,0.98544,0.995,0.65599,1.1822,0.56851,1.55091,0.000284,0.000284,0.000284
54,158.177,0.7682,0.46651,1.23795,0.99525,0.92308,0.99,0.68798,1.1338,0.55784,1.5037,0.000251,0.000251,0.000251
55,160.704,0.75427,0.45846,1.1887,0.99487,0.92308,0.99,0.70296,1.07219,0.51166,1.46586,0.000218,0.000218,0.000218
56,163.242,0.78125,0.4509,1.23113,0.99452,0.92308,0.99,0.70025,1.0386,0.49507,1.43991,0.000185,0.000185,0.000185
57,166.028,0.72187,0.42585,1.20965,0.99133,0.92308,0.99,0.6887,1.03872,0.49627,1.43407,0.000152,0.000152,0.000152
58,169.801,0.7205,0.41981,1.15028,0.92152,1,0.99,0.71156,1.04216,0.50982,1.41998,0.000119,0.000119,0.000119
59,172.498,0.71204,0.42505,1.23844,0.91221,1,0.98429,0.72952,1.03895,0.48716,1.41891,8.6e-05,8.6e-05,8.6e-05
60,175.217,0.73302,0.42601,1.18087,0.91805,1,0.98429,0.73307,1.01618,0.47108,1.41394,5.3e-05,5.3e-05,5.3e-05
